2 theta	A_{s,sc}	A_{c,sc}	A_{c,c}
5	0.3032358	0.5718225	0.9245358
5.1	0.3032407	0.5718986	0.9245257
5.2	0.3032457	0.5714445	0.9245635
5.3	0.3032508	0.5710359	0.9245996
5.4	0.3032559	0.57081	0.9246189
5.5	0.3032613	0.5706534	0.9246323
5.6	0.3032666	0.5705367	0.9246416
5.7	0.3032721	0.5704477	0.9246488
5.8	0.3032777	0.5703792	0.9246537
5.9	0.3032833	0.5703276	0.9246574
6	0.3032891	0.5702897	0.9246594
6.1	0.3032949	0.5702635	0.9246606
6.2	0.3033009	0.5702478	0.9246604
6.3	0.3033069	0.5702415	0.9246596
6.4	0.303313	0.5702438	0.9246578
6.5	0.3033193	0.5702539	0.9246553
6.6	0.3033256	0.5702719	0.9246522
6.7	0.303332	0.5702966	0.9246483
6.8	0.3033385	0.5703284	0.9246437
6.9	0.3033451	0.5703668	0.924638
7	0.3033518	0.5696613	0.924701
7.1	0.3033586	0.5693943	0.9247251
7.2	0.3033655	0.5692161	0.924741
7.3	0.3033725	0.5690858	0.9247526
7.4	0.3033795	0.5689886	0.9247615
7.5	0.3033867	0.5689164	0.9247676
7.6	0.303394	0.5688649	0.9247718
7.7	0.3034013	0.5688315	0.9247745
7.8	0.3034087	0.5688146	0.9247755
7.9	0.3034162	0.5688131	0.9247751
8	0.3034239	0.5688266	0.9247734
8.1	0.3034316	0.5688547	0.9247701
8.2	0.3034393	0.5688978	0.9247653
8.3	0.3034472	0.5689567	0.9247594
8.4	0.3034552	0.5690324	0.9247516
8.5	0.3034633	0.5691271	0.9247421
8.6	0.3034714	0.5692437	0.9247305
8.7	0.3034797	0.5693874	0.9247164
8.8	0.3034881	0.5695673	0.924699
8.9	0.3034965	0.5698012	0.9246765
9	0.3035051	0.5701405	0.9246449
9.1	0.3035136	0.5709339	0.924573
9.2	0.3035224	0.5709134	0.9245762
9.3	0.3035312	0.570897	0.9245787
9.4	0.3035401	0.5708854	0.9245808
9.5	0.303549	0.5708779	0.9245824
9.6	0.3035581	0.570875	0.9245837
9.7	0.3035673	0.5708763	0.9245843
9.8	0.3035765	0.570882	0.9245847
9.9	0.3035859	0.570892	0.9245844
10	0.3035953	0.5709062	0.9245837
10.1	0.3036048	0.5709248	0.9245827
10.2	0.3036143	0.5703193	0.9246386
10.3	0.3036241	0.5700618	0.9246637
10.4	0.3036338	0.569884	0.9246814
10.5	0.3036437	0.569748	0.9246957
10.6	0.3036536	0.56964	0.924707
10.7	0.3036637	0.5695531	0.9247166
10.8	0.3036738	0.5694835	0.9247244
10.9	0.303684	0.569429	0.924731
11	0.3036942	0.5693882	0.9247361
11.1	0.3037047	0.5693597	0.92474
11.2	0.3037151	0.5693434	0.9247431
11.3	0.3037257	0.5693388	0.9247447
11.4	0.3037364	0.5693463	0.9247453
11.5	0.3037471	0.5693662	0.9247447
11.6	0.3037579	0.5693994	0.9247426
11.7	0.3037688	0.5694471	0.9247395
11.8	0.3037798	0.5695117	0.9247344
11.9	0.3037908	0.5695965	0.9247279
12	0.303802	0.5697068	0.9247189
12.1	0.3038132	0.5698535	0.9247063
12.2	0.3038246	0.5700623	0.9246883
12.3	0.3038359	0.5704389	0.9246555
12.4	0.3038475	0.5707999	0.9246249
12.5	0.3038591	0.570754	0.9246316
12.6	0.3038707	0.5707116	0.9246376
12.7	0.3038824	0.5706725	0.9246433
12.8	0.3038943	0.5706365	0.9246488
12.9	0.3039062	0.5706039	0.9246536
13	0.3039182	0.5705743	0.9246583
13.1	0.3039302	0.5705477	0.9246625
13.2	0.3039424	0.570524	0.9246665
13.3	0.3039547	0.5705035	0.9246701
13.4	0.303967	0.5704856	0.9246733
13.5	0.3039793	0.5704707	0.9246765
13.6	0.3039918	0.5704587	0.9246791
13.7	0.3040045	0.5704492	0.9246812
13.8	0.3040171	0.5704427	0.9246833
13.9	0.3040298	0.5704389	0.9246847
14	0.3040426	0.5704378	0.9246861
14.1	0.3040555	0.5704394	0.9246871
14.2	0.3040685	0.5704437	0.924688
14.3	0.3040815	0.5704507	0.9246882
14.4	0.3040947	0.5704604	0.9246884
14.5	0.3041079	0.5704728	0.924688
14.6	0.3041212	0.5704878	0.9246876
14.7	0.3041346	0.5705055	0.9246868
14.8	0.304148	0.5705258	0.9246856
14.9	0.3041615	0.5705489	0.924684
15	0.3041751	0.5705749	0.9246822
15.1	0.3041888	0.5706035	0.92468
15.2	0.3042025	0.5706346	0.9246775
15.3	0.3042164	0.5706688	0.9246746
15.4	0.3042304	0.5707057	0.9246717
15.5	0.3042443	0.5707452	0.924668
15.6	0.3042584	0.5707879	0.9246641
15.7	0.3042726	0.5708334	0.9246601
15.8	0.3042868	0.5708817	0.9246558
15.9	0.3043011	0.570933	0.9246506
16	0.3043156	0.5709874	0.9246455
16.1	0.30433	0.5710449	0.9246399
